year,yield
1981,663.2026721
1982,774.1880243
1983,536.4818893
1984,758.4595507
1985,809.4486431
1986,482.6323761
1987,678.3329119
1988,634.3514851
1989,1428.290374
1990,897.832393
1991,1002.562834
1992,795.911909
1993,1225.079143
1994,806.5435128
1995,1121.001777
1996,840.7077341
1997,1227.438349
1998,1266.929897
1999,1256.837815
2000,920.1490575
2001,752.6618886
2002,1203.557547
2003,905.2751033
2004,1683.234052
2005,1080.795867
2006,1480.511313
2007,1213.262714
2008,1552.635444
2009,1389.893737
2010,1195.302827
2011,1599.32223